matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy,rewards_earned
598033,612.5,767.5,11.0,0.20195439739413681,0.0
598034,357.0,767.0,11.0,0.5345501955671447,-50.0
598035,354.0,620.0,11.0,0.4290322580645161,-50.0
598036,493.0,751.0,11.0,0.34354194407456723,-50.0
598037,569.0,758.5,11.0,0.24983520105471324,0.0
598038,399.0,607.5,11.0,0.3432098765432099,-50.0
598039,382.0,577.0,11.0,0.3379549393414211,-50.0
598040,418.0,545.0,11.0,0.23302752293577983,0.0
598041,701.0,809.0,11.0,0.1334981458590853,75.0
598042,537.0,775.0,11.0,0.30709677419354836,-50.0
598043,360.0,575.5,11.0,0.37445699391833187,-50.0
598044,327.0,560.0,11.0,0.4160714285714286,-50.0
598045,735.5,808.5,11.0,0.09029066171923315,350.0
598046,385.5,712.5,11.0,0.4589473684210526,-50.0
598047,668.0,707.0,11.0,0.055162659123055166,3950.0
598048,485.0,717.5,11.0,0.3240418118466899,-50.0
598049,376.0,622.0,11.0,0.3954983922829582,-50.0
598050,501.5,639.5,11.0,0.21579358874120408,0.0
598051,697.5,881.5,11.0,0.20873511060692002,0.0
598052,589.0,689.0,11.0,0.14513788098693758,75.0
598053,435.0,732.0,11.0,0.4057377049180328,-50.0
598054,531.0,836.5,11.0,0.36521219366407653,-50.0
598055,338.0,558.0,11.0,0.3942652329749104,-50.0
598056,247.0,719.5,11.0,0.6567060458651841,-50.0
598057,559.5,706.5,11.0,0.208067940552017,0.0
598058,415.0,670.5,11.0,0.38105891126025354,-50.0
598059,480.0,553.0,11.0,0.13200723327305605,75.0
598060,216.0,661.0,11.0,0.6732223903177005,-50.0
598061,290.0,660.5,11.0,0.5609386828160484,-50.0
598062,465.0,700.5,11.0,0.3361884368308351,-50.0
598063,453.0,666.0,11.0,0.31981981981981983,-50.0
598064,575.0,770.0,11.0,0.2532467532467532,-50.0
598065,624.0,827.5,11.0,0.2459214501510574,0.0
598066,702.5,873.5,11.0,0.19576416714367487,50.0
598067,301.0,757.5,11.0,0.6026402640264027,-50.0
598068,284.5,564.5,11.0,0.49601417183348095,-50.0
598069,372.5,579.5,11.0,0.3572044866264021,-50.0
598070,679.5,821.5,11.0,0.17285453438831405,50.0
598071,246.0,631.0,11.0,0.6101426307448494,-50.0
598072,571.0,685.0,11.0,0.16642335766423358,50.0
598073,713.0,877.0,11.0,0.18700114025085518,50.0
729279,552.0,815.0,11.0,0.3226993865030675,-50.0
729281,506.0,624.0,11.0,0.1891025641025641,50.0
729283,483.5,842.5,11.0,0.4261127596439169,-50.0
729285,430.0,633.5,11.0,0.3212312549329124,-50.0
729287,371.0,576.0,11.0,0.3559027777777778,-50.0
729289,386.5,650.5,11.0,0.40584166026133744,-50.0
729291,332.0,706.0,11.0,0.5297450424929179,-50.0
729293,573.0,669.0,11.0,0.14349775784753363,75.0
729295,392.0,843.0,11.0,0.534994068801898,-50.0
729297,245.0,718.5,11.0,0.6590118302018093,-50.0
729299,431.5,648.5,11.0,0.3346183500385505,-50.0
729301,517.0,687.0,11.0,0.24745269286754004,0.0
729303,308.5,705.5,11.0,0.5627214741318214,-50.0
729305,213.0,630.5,11.0,0.662172878667724,-50.0
729307,380.0,709.0,11.0,0.46403385049365303,-50.0
729309,420.0,492.0,11.0,0.14634146341463414,75.0
729311,533.5,704.5,11.0,0.2427253371185238,0.0
729313,314.0,655.0,11.0,0.5206106870229008,-50.0
729315,445.5,667.5,11.0,0.3325842696629214,-50.0
729317,483.0,768.5,11.0,0.3715029277813923,-50.0
