matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points,total_points_avg
734013,S Rana,1.0,2.0,2.0,,,4.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,,6.0,6.0,9.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,9.0,nan,1.0,,,0,1.0,,-2,0.0,0,-2.0,-1.0,
734013,SK Raina,65.0,49.0,49.0,1.0,6.0,2.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,,24.0,24.0,20.0,0.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,5.0,All Rounder,4225.0,2.0,6.0,8,4241.0,,4,0.0,0,4.0,4245.0,911.0
734013,V Kohli,31.0,29.0,29.0,1.0,2.0,1.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,,,,All Rounder,961.0,2.0,2.0,0,965.0,,0,,0,0.0,965.0,529.4
734013,VR Aaron,,,,,,,,,,2.0,19.0,19.0,28.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.842105263157896,Bowler,,,,0,0.0,50.0,0,0.0,0,50.0,50.0,83.6
734013,YS Chahal,,,,,,,,,,,24.0,24.0,27.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.75,Bowler,,,,0,0.0,,0,0.0,0,0.0,0.0,32.4
734013,Yuvraj Singh,13.0,9.0,9.0,1.0,,3.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,,,,All Rounder,169.0,2.0,,0,171.0,,0,,0,0.0,171.0,1892.2
734015,A Mishra,,,,,,,,,,,24.0,24.0,38.0,0.0,2nd innings,Kolkata Knight Riders,Sunrisers Hyderabad,9.5,Bowler,,,,0,0.0,,-2,0.0,0,-2.0,-2.0,23.5
734015,AJ Finch,8.0,8.0,8.0,,1.0,0.0,1st innings,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,,,,,,All Rounder,64.0,,1.0,0,65.0,,0,,0,0.0,65.0,1732.3
734015,B Kumar,,,,,,,,,,,22.0,22.0,37.0,0.0,2nd innings,Kolkata Knight Riders,Sunrisers Hyderabad,10.090909090909092,Bowler,,,,0,0.0,,-4,0.0,0,-4.0,-4.0,50.0
734015,DA Warner,34.0,18.0,18.0,2.0,3.0,2.0,1st innings,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,,,,,,nan,1156.0,4.0,3.0,0,1163.0,,0,,0,0.0,1163.0,2006.0
