matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_catboost,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
598047,AJ Finch,Batsmen,Pune Warriors,10,65.0,33.61657763839128,33.61657763839128,5.0,1.0,4.0,1.0
598047,AM Rahane,Batsmen,Rajasthan Royals,10,174.0,32.16008304449869,32.16008304449869,7.0,1.0,0.0,1.0
598047,B Kumar,Bowler,Pune Warriors,10,25.0,26.962536884077462,26.962536884077462,,,,
598047,BJ Hodge,Batsmen,Rajasthan Royals,10,4.0,25.533600300290594,25.533600300290594,,,,
598047,JP Faulkner,Bowler,Rajasthan Royals,10,28.0,35.024160163003835,35.024160163003835,3.0,1.0,8.0,1.0
598047,K Upadhyay,Bowler,Pune Warriors,10,0.0,25.309521004336638,25.309521004336638,,,,
598047,KK Cooper,Bowler,Rajasthan Royals,10,25.0,29.064178628379718,29.064178628379718,9.0,1.0,10.0,1.0
598047,MR Marsh,AllRounder,Pune Warriors,10,44.0,39.58704918080228,59.38057377120342,1.0,1.0,5.0,1.0
598047,R Dravid,Batsmen,Rajasthan Royals,10,117.0,29.88097201787125,29.88097201787125,,,1.0,1.0
598047,R Sharma,Bowler,Pune Warriors,10,0.0,25.160969289327497,25.160969289327497,,,,
598047,RV Uthappa,Batsmen,Pune Warriors,10,77.0,35.57177842879863,35.57177842879863,2.0,1.0,2.0,1.0
598047,SK Trivedi,Bowler,Rajasthan Royals,10,25.0,26.25224477430757,26.25224477430757,,,9.0,1.0
598047,SR Watson,AllRounder,Rajasthan Royals,10,6.0,47.8257533296877,95.6515066593754,0.0,1.0,,
598047,STR Binny,AllRounder,Rajasthan Royals,10,38.0,28.791511502564422,28.791511502564422,,,7.0,1.0
598047,SV Samson,Batsmen,Rajasthan Royals,10,12.0,30.16237020422994,30.16237020422994,8.0,1.0,,
598047,WD Parnell,Bowler,Pune Warriors,10,75.0,28.5586742134475,28.5586742134475,10.0,1.0,3.0,1.0
598047,Yuvraj Singh,AllRounder,Pune Warriors,10,18.0,32.91448489870713,32.91448489870713,6.0,1.0,,
598048,A Ashish Reddy,Bowler,Sunrisers Hyderabad,10,-3.0,23.133262509094518,23.133262509094518,,,,
598048,A Mishra,Bowler,Sunrisers Hyderabad,10,-2.0,34.90855701606981,34.90855701606981,4.0,1.0,,
598048,AB de Villiers,Batsmen,Royal Challengers Bangalore,10,18.0,30.85664746978196,30.85664746978196,6.0,1.0,,
598048,BB Samantray,Batsmen,Sunrisers Hyderabad,10,2.0,21.755783784349443,21.755783784349443,,,,
598048,CH Gayle,Batsmen,Royal Challengers Bangalore,10,15.0,50.214463588668394,100.42892717733679,0.0,1.0,,
598048,CL White,Batsmen,Sunrisers Hyderabad,10,133.5,25.079812028709572,25.079812028709572,,,1.0,1.0
598048,DW Steyn,Bowler,Sunrisers Hyderabad,10,6.0,30.209233308339034,30.209233308339034,8.0,1.0,,
598048,GH Vihari,Batsmen,Sunrisers Hyderabad,10,-2.0,23.479435124587326,23.479435124587326,,,,
598048,I Sharma,Bowler,Sunrisers Hyderabad,10,25.0,29.61564761658845,29.61564761658845,9.0,1.0,8.0,1.0
598048,JD Unadkat,Bowler,Royal Challengers Bangalore,10,0.0,26.8486091700209,26.8486091700209,,,,
598048,KC Sangakkara,Batsmen,Sunrisers Hyderabad,10,25.0,26.444095176360253,26.444095176360253,,,7.0,1.0
598048,M Kartik,Bowler,Royal Challengers Bangalore,10,25.0,25.796805382511113,25.796805382511113,,,6.0,1.0
598048,M Muralitharan,Bowler,Royal Challengers Bangalore,10,27.0,27.510963917924908,27.510963917924908,,,5.0,1.0
598048,MA Agarwal,Batsmen,Royal Challengers Bangalore,10,36.0,27.58494683323185,27.58494683323185,,,4.0,1.0
598048,MC Henriques,AllRounder,Royal Challengers Bangalore,10,2.0,38.212403137010014,38.212403137010014,2.0,1.0,,
598048,NLTC Perera,AllRounder,Sunrisers Hyderabad,10,76.0,41.09858015795824,61.64787023693736,1.0,1.0,3.0,1.0
598048,PA Patel,Batsmen,Sunrisers Hyderabad,10,22.0,29.312932341882586,29.312932341882586,10.0,1.0,10.0,1.0
598048,PA Reddy,Batsmen,Sunrisers Hyderabad,10,14.0,24.49209266181481,24.49209266181481,,,,
598048,R Vinay Kumar,Bowler,Royal Challengers Bangalore,10,23.0,31.85929109160357,31.85929109160357,5.0,1.0,9.0,1.0
598048,RP Singh,Bowler,Royal Challengers Bangalore,10,77.0,30.810489111238127,30.810489111238127,7.0,1.0,2.0,1.0
598048,V Kohli,Batsmen,Royal Challengers Bangalore,10,248.0,36.606804271291814,36.606804271291814,3.0,1.0,0.0,1.0
598049,AB Agarkar,Bowler,Delhi Daredevils,10,-6.0,25.47978530435589,25.47978530435589,,,,
598049,AM Rahane,Batsmen,Rajasthan Royals,10,120.0,33.57464555002805,33.57464555002805,3.0,1.0,1.0,1.0
598049,BJ Rohrer,Batsmen,Delhi Daredevils,10,166.0,22.053024077171575,22.053024077171575,,,0.0,1.0
598049,CM Gautam,Batsmen,Delhi Daredevils,10,2.0,25.054646597921785,25.054646597921785,,,,
598049,DA Warner,Batsmen,Delhi Daredevils,10,15.0,31.447165827133578,31.447165827133578,5.0,1.0,,
598049,DPMD Jayawardene,Batsmen,Delhi Daredevils,10,41.0,33.021138178722445,33.021138178722445,4.0,1.0,4.0,1.0
598049,JP Faulkner,Bowler,Rajasthan Royals,10,25.0,33.92545909439591,33.92545909439591,2.0,1.0,9.0,1.0
598049,KM Jadhav,Batsmen,Delhi Daredevils,10,27.0,19.883617113241197,19.883617113241197,,,8.0,1.0
598049,M Morkel,Bowler,Delhi Daredevils,10,-4.0,27.646981159816107,27.646981159816107,10.0,1.0,,
598049,P Negi,Bowler,Delhi Daredevils,10,2.0,29.844353011000337,29.844353011000337,7.0,1.0,,
598049,PV Tambe,Bowler,Rajasthan Royals,10,0.0,26.954163332595428,26.954163332595428,,,,
598049,R Dravid,Batsmen,Rajasthan Royals,10,77.0,31.397630933690706,31.397630933690706,6.0,1.0,2.0,1.0
598049,S Kaul,Bowler,Delhi Daredevils,10,35.0,25.898377014893107,25.898377014893107,,,5.0,1.0
598049,SK Trivedi,Bowler,Rajasthan Royals,10,27.0,26.35855502179177,26.35855502179177,,,7.0,1.0
598049,SR Watson,AllRounder,Rajasthan Royals,10,58.0,50.94746576103756,101.89493152207513,0.0,1.0,3.0,1.0
598049,STR Binny,AllRounder,Rajasthan Royals,10,31.0,28.66821804773143,28.66821804773143,8.0,1.0,6.0,1.0
598049,SW Tait,Bowler,Rajasthan Royals,10,-2.0,27.633662528592325,27.633662528592325,,,,
598049,UT Yadav,Bowler,Delhi Daredevils,10,0.0,28.30817504585893,28.30817504585893,9.0,1.0,,
598049,V Sehwag,Batsmen,Delhi Daredevils,10,15.0,35.09229426407276,52.638441396109144,1.0,1.0,10.0,1.0
598050,AN Ahmed,Bowler,Mumbai Indians,10,27.0,25.64087903639087,25.64087903639087,,,,
598050,DB Das,Batsmen,Kolkata Knight Riders,10,29.0,18.901832600672574,18.901832600672574,,,9.0,1.0
598050,DR Smith,AllRounder,Mumbai Indians,10,65.0,40.01031920513485,60.01547880770227,1.0,1.0,2.0,1.0
598050,EJG Morgan,Batsmen,Kolkata Knight Riders,10,11.0,26.28520528754806,26.28520528754806,,,,
598050,G Gambhir,Batsmen,Kolkata Knight Riders,10,-2.0,33.29731107830852,33.29731107830852,6.0,1.0,,
598050,Harbhajan Singh,Bowler,Mumbai Indians,10,150.0,31.733119048129662,31.733119048129662,8.0,1.0,0.0,1.0
